,Area,Months,Element,Year,Temperature,Date,DateInt
684,Romania,7,Temperature change,1989,-0.155,1989-07-01,198907.0
686,Romania,8,Temperature change,1989,0.727,1989-08-01,198908.0
688,Romania,9,Temperature change,1989,-0.372,1989-09-01,198909.0
690,Romania,10,Temperature change,1989,0.294,1989-10-01,198910.0
692,Romania,11,Temperature change,1989,-1.747,1989-11-01,198911.0
694,Romania,12,Temperature change,1989,0.421,1989-12-01,198912.0
696,Romania,1,Temperature change,1990,1.113,1990-01-01,199001.0
698,Romania,2,Temperature change,1990,4.494,1990-02-01,199002.0
700,Romania,3,Temperature change,1990,4.757,1990-03-01,199003.0
702,Romania,4,Temperature change,1990,0.518,1990-04-01,199004.0
704,Romania,5,Temperature change,1990,0.143,1990-05-01,199005.0
706,Romania,6,Temperature change,1990,-0.302,1990-06-01,199006.0
708,Romania,7,Temperature change,1990,0.26,1990-07-01,199007.0
710,Romania,8,Temperature change,1990,0.472,1990-08-01,199008.0
712,Romania,9,Temperature change,1990,-1.184,1990-09-01,199009.0
714,Romania,10,Temperature change,1990,0.725,1990-10-01,199010.0
716,Romania,11,Temperature change,1990,1.778,1990-11-01,199011.0
718,Romania,12,Temperature change,1990,0.423,1990-12-01,199012.0
720,Romania,1,Temperature change,1991,2.254,1991-01-01,199101.0
722,Romania,2,Temperature change,1991,-2.113,1991-02-01,199102.0
724,Romania,3,Temperature change,1991,1.616,1991-03-01,199103.0
726,Romania,4,Temperature change,1991,-0.738,1991-04-01,199104.0
728,Romania,5,Temperature change,1991,-2.267,1991-05-01,199105.0
730,Romania,6,Temperature change,1991,0.259,1991-06-01,199106.0
732,Romania,7,Temperature change,1991,0.952,1991-07-01,199107.0
734,Romania,8,Temperature change,1991,-0.386,1991-08-01,199108.0
736,Romania,9,Temperature change,1991,0.351,1991-09-01,199109.0
738,Romania,10,Temperature change,1991,0.014,1991-10-01,199110.0
740,Romania,11,Temperature change,1991,0.046,1991-11-01,199111.0
742,Romania,12,Temperature change,1991,-3.182,1991-12-01,199112.0
744,Romania,1,Temperature change,1992,1.022,1992-01-01,199201.0
746,Romania,2,Temperature change,1992,0.468,1992-02-01,199202.0
748,Romania,3,Temperature change,1992,1.304,1992-03-01,199203.0
750,Romania,4,Temperature change,1992,0.597,1992-04-01,199204.0
752,Romania,5,Temperature change,1992,-0.691,1992-05-01,199205.0
754,Romania,6,Temperature change,1992,0.188,1992-06-01,199206.0
756,Romania,7,Temperature change,1992,0.231,1992-07-01,199207.0
758,Romania,8,Temperature change,1992,3.806,1992-08-01,199208.0
760,Romania,9,Temperature change,1992,-0.498,1992-09-01,199209.0
762,Romania,10,Temperature change,1992,0.69,1992-10-01,199210.0
764,Romania,11,Temperature change,1992,0.404,1992-11-01,199211.0
766,Romania,12,Temperature change,1992,-1.726,1992-12-01,199212.0
768,Romania,1,Temperature change,1993,1.463,1993-01-01,199301.0
770,Romania,2,Temperature change,1993,-1.882,1993-02-01,199302.0
772,Romania,3,Temperature change,1993,-1.223,1993-03-01,199303.0
774,Romania,4,Temperature change,1993,-0.586,1993-04-01,199304.0
776,Romania,5,Temperature change,1993,1.488,1993-05-01,199305.0
778,Romania,6,Temperature change,1993,0.286,1993-06-01,199306.0
780,Romania,7,Temperature change,1993,-0.429,1993-07-01,199307.0
782,Romania,8,Temperature change,1993,0.823,1993-08-01,199308.0
784,Romania,9,Temperature change,1993,-0.418,1993-09-01,199309.0
786,Romania,10,Temperature change,1993,2.018,1993-10-01,199310.0
788,Romania,11,Temperature change,1993,-4.857,1993-11-01,199311.0
790,Romania,12,Temperature change,1993,1.915,1993-12-01,199312.0
792,Romania,1,Temperature change,1994,4.497,1994-01-01,199401.0
794,Romania,2,Temperature change,1994,1.457,1994-02-01,199402.0
796,Romania,3,Temperature change,1994,3.031,1994-03-01,199403.0
798,Romania,4,Temperature change,1994,1.617,1994-04-01,199404.0
800,Romania,5,Temperature change,1994,0.967,1994-05-01,199405.0
802,Romania,6,Temperature change,1994,0.069,1994-06-01,199406.0
804,Romania,7,Temperature change,1994,1.832,1994-07-01,199407.0
806,Romania,8,Temperature change,1994,1.615,1994-08-01,199408.0
808,Romania,9,Temperature change,1994,4.253,1994-09-01,199409.0
810,Romania,10,Temperature change,1994,-0.074,1994-10-01,199410.0
812,Romania,11,Temperature change,1994,-0.492,1994-11-01,199411.0
814,Romania,12,Temperature change,1994,0.079,1994-12-01,199412.0
816,Romania,1,Temperature change,1995,0.349,1995-01-01,199501.0
818,Romania,2,Temperature change,1995,4.982,1995-02-01,199502.0
820,Romania,3,Temperature change,1995,1.312,1995-03-01,199503.0
822,Romania,4,Temperature change,1995,-0.07,1995-04-01,199504.0
824,Romania,5,Temperature change,1995,-0.563,1995-05-01,199505.0
